Authorisation,Location Description,Release Start Date,Release Start Time,Release End Date,Release End Time,Freshet Volume (m3),Freshet Duration (hrs)
CAR/L/1011471,Dundreggan (River Moriston),"Tuesday, September 30, 2025",11:00:00 AM,"Wednesday, October 01, 2025",4:00:00 PM,"736,467",29.00
CAR/L/1011471,Dundreggan (River Moriston),"Tuesday, October 07, 2025",11:00:00 AM,"Wednesday, October 08, 2025",4:00:00 PM,"736,467",29.00
CAR/L/1011471,Dundreggan (River Moriston),"Tuesday, October 14, 2025",11:00:00 AM,"Wednesday, October 15, 2025",4:00:00 PM,"736,467",29.00
CAR/L/1011471,Dundreggan (River Moriston),"Tuesday, October 21, 2025",11:00:00 AM,"Wednesday, October 22, 2025",4:00:00 PM,"736,467",29.00
CAR/L/1011471,Dundreggan (River Moriston),"Tuesday, October 28, 2025",11:00:00 AM,"Wednesday, October 29, 2025",4:00:00 PM,"736,467",29.00
CAR/L/1011471,Garry (Invergarry),"Thursday, March 20, 2025",8:00:00 AM,"Friday, March 21, 2025",4:00:00 AM,"684,225",20.00
CAR/L/1011471,Garry (Invergarry),"Thursday, March 27, 2025",8:00:00 AM,"Friday, March 28, 2025",4:00:00 AM,"684,225",20.00
CAR/L/1011471,Garry (Invergarry),"Thursday, April 03, 2025",8:00:00 AM,"Friday, April 04, 2025",4:00:00 AM,"684,225",20.00
CAR/L/1011471,Garry (Invergarry),"Thursday, April 10, 2025",8:00:00 AM,"Friday, April 11, 2025",4:00:00 AM,"684,225",20.00
CAR/L/1011471,Garry (Invergarry),"Friday, April 11, 2025",8:00:00 AM,"Saturday, April 12, 2025",4:00:00 AM,"684,225",20.00
CAR/L/1011471,Garry (Invergarry),"Thursday, April 17, 2025",8:00:00 AM,"Friday, April 18, 2025",4:00:00 AM,"684,225",20.00
CAR/L/1011471,Garry (Invergarry),"Saturday, April 19, 2025",8:00:00 AM,"Sunday, April 20, 2025",4:00:00 AM,"684,225",20.00
CAR/L/1011471,Garry (Invergarry),"Saturday, April 26, 2025",8:00:00 AM,"Sunday, April 27, 2025",4:00:00 AM,"684,225",20.00
CAR/L/1011471,Garry (Invergarry),"Thursday, May 01, 2025",8:00:00 AM,"Friday, May 02, 2025",4:00:00 AM,"684,225",20.00
CAR/L/1011471,Garry (Invergarry),"Thursday, May 08, 2025",8:00:00 AM,"Friday, May 09, 2025",4:00:00 AM,"684,225",20.00
CAR/L/1011471,Garry (Invergarry),"Friday, May 09, 2025",8:00:00 AM,"Saturday, May 10, 2025",4:00:00 AM,"684,225",20.00
CAR/L/1011471,Garry (Invergarry),"Saturday, May 17, 2025",8:00:00 AM,"Sunday, May 18, 2025",4:00:00 AM,"684,225",20.00
CAR/L/1011471,Garry (Invergarry),"Sunday, May 18, 2025",8:00:00 AM,"Monday, May 19, 2025",4:00:00 AM,"684,225",20.00
CAR/L/1011471,Garry (Invergarry),"Thursday, May 22, 2025",8:00:00 AM,"Friday, May 23, 2025",4:00:00 AM,"684,225",20.00
CAR/L/1011471,Garry (Invergarry),"Thursday, May 29, 2025",8:00:00 AM,"Friday, May 30, 2025",4:00:00 AM,"684,225",20.00
CAR/L/1011471,Garry (Invergarry),"Saturday, June 07, 2025",8:00:00 AM,"Sunday, June 08, 2025",4:00:00 AM,"684,225",20.00
CAR/L/1011471,Garry (Invergarry),"Thursday, June 12, 2025",8:00:00 AM,"Friday, June 13, 2025",4:00:00 AM,"684,225",20.00
CAR/L/1011471,Garry (Invergarry),"Thursday, June 19, 2025",8:00:00 AM,"Friday, June 20, 2025",4:00:00 AM,"684,225",20.00
CAR/L/1011471,Garry (Invergarry),"Thursday, June 26, 2025",8:00:00 AM,"Friday, June 27, 2025",4:00:00 AM,"684,225",20.00
CAR/L/1011471,Garry (Invergarry),"Saturday, June 28, 2025",8:00:00 AM,"Sunday, June 29, 2025",4:00:00 AM,"684,225",20.00
CAR/L/1011471,Garry (Invergarry),"Thursday, July 03, 2025",8:00:00 AM,"Friday, July 04, 2025",4:00:00 AM,"684,225",20.00
CAR/L/1011471,Garry (Invergarry),"Saturday, July 05, 2025",8:00:00 AM,"Sunday, July 06, 2025",4:00:00 AM,"684,225",20.00
CAR/L/1011471,Garry (Invergarry),"Thursday, July 10, 2025",8:00:00 AM,"Friday, July 11, 2025",4:00:00 AM,"684,225",20.00
CAR/L/1011471,Garry (Invergarry),"Saturday, July 12, 2025",6:00:00 AM,"Saturday, July 12, 2025",7:00:00 PM,"444,746",13.00
CAR/L/1011471,Garry (Invergarry),"Thursday, July 17, 2025",8:00:00 AM,"Friday, July 18, 2025",4:00:00 AM,"684,225",20.00
CAR/L/1011471,Garry (Invergarry),"Thursday, July 24, 2025",8:00:00 AM,"Friday, July 25, 2025",4:00:00 AM,"684,225",20.00
CAR/L/1011471,Garry (Invergarry),"Saturday, July 26, 2025",8:00:00 AM,"Sunday, July 27, 2025",4:00:00 AM,"684,225",20.00
CAR/L/1011471,Garry (Invergarry),"Thursday, July 31, 2025",8:00:00 AM,"Friday, August 01, 2025",4:00:00 AM,"684,225",20.00
CAR/L/1011471,Garry (Invergarry),"Thursday, August 07, 2025",8:00:00 AM,"Friday, August 08, 2025",4:00:00 AM,"684,225",20.00
CAR/L/1011471,Garry (Invergarry),"Saturday, August 09, 2025",8:00:00 AM,"Sunday, August 10, 2025",4:00:00 AM,"684,225",20.00
CAR/L/1011471,Garry (Invergarry),"Thursday, August 14, 2025",8:00:00 AM,"Friday, August 15, 2025",4:00:00 AM,"684,225",20.00
CAR/L/1011471,Garry (Invergarry),"Thursday, August 21, 2025",8:00:00 AM,"Friday, August 22, 2025",4:00:00 AM,"684,225",20.00
CAR/L/1011471,Garry (Invergarry),"Saturday, August 23, 2025",8:00:00 AM,"Sunday, August 24, 2025",4:00:00 AM,"684,225",20.00
CAR/L/1011471,Garry (Invergarry),"Thursday, August 28, 2025",8:00:00 AM,"Friday, August 29, 2025",4:00:00 AM,"684,225",20.00
CAR/L/1011471,Garry (Invergarry),"Thursday, September 04, 2025",8:00:00 AM,"Friday, September 05, 2025",4:00:00 AM,"684,225",20.00
CAR/L/1011471,Garry (Invergarry),"Sunday, September 07, 2025",6:00:00 AM,"Sunday, September 07, 2025",7:00:00 PM,"444,746",13.00
CAR/L/1011471,Garry (Invergarry),"Thursday, September 18, 2025",8:00:00 AM,"Friday, September 19, 2025",4:00:00 AM,"684,225",20.00
CAR/L/1011471,Garry (Invergarry),"Sunday, September 28, 2025",8:00:00 AM,"Monday, September 29, 2025",4:00:00 AM,"684,225",20.00
CAR/L/1011471,Garry (Invergarry),"Thursday, October 02, 2025",8:00:00 AM,"Friday, October 03, 2025",4:00:00 AM,"684,225",20.00
CAR/L/1011471,Garry (Invergarry),"Thursday, October 09, 2025",8:00:00 AM,"Friday, October 10, 2025",4:00:00 AM,"684,225",20.00
CAR/L/1011485,Dunalastair,"Wednesday, May 28, 2025",2:00:00 PM,"Friday, May 30, 2025",1:00:00 PM,"811,500",47.00
CAR/L/1011485,Dunalastair,"Friday, June 06, 2025",2:00:00 PM,"Sunday, June 08, 2025",1:00:00 PM,"811,500",47.00
CAR/L/1011485,Dunalastair,"Wednesday, June 18, 2025",2:00:00 PM,"Friday, June 20, 2025",1:00:00 PM,"811,500",47.00
CAR/L/1011485,Dunalastair,"Monday, June 30, 2025",2:00:00 PM,"Wednesday, July 02, 2025",1:00:00 PM,"811,500",47.00
CAR/L/1011485,Dunalastair,"Friday, July 11, 2025",2:00:00 PM,"Sunday, July 13, 2025",1:00:00 PM,"811,500",47.00
CAR/L/1011485,Dunalastair,"Monday, July 21, 2025",2:00:00 PM,"Wednesday, July 23, 2025",1:00:00 PM,"811,500",47.00
CAR/L/1011485,Dunalastair,"Wednesday, July 30, 2025",2:00:00 PM,"Friday, August 01, 2025",1:00:00 PM,"811,500",47.00
CAR/L/1011485,Dunalastair,"Friday, August 08, 2025",2:00:00 PM,"Sunday, August 10, 2025",1:00:00 PM,"811,500",47.00
CAR/L/1011485,Dunalastair,"Wednesday, August 20, 2025",2:00:00 PM,"Friday, August 22, 2025",1:00:00 PM,"811,500",47.00
CAR/L/1011485,Dunalastair,"Monday, September 01, 2025",2:00:00 PM,"Wednesday, September 03, 2025",1:00:00 PM,"811,500",47.00
CAR/L/1011485,Dunalastair,"Friday, September 12, 2025",2:00:00 PM,"Sunday, September 14, 2025",1:00:00 PM,"811,500",47.00
CAR/L/1011485,Dunalastair,"Monday, September 22, 2025",2:00:00 PM,"Wednesday, September 24, 2025",1:00:00 PM,"811,500",47.00
CAR/L/1011485,Dunalastair,"Wednesday, October 01, 2025",2:00:00 PM,"Friday, October 03, 2025",1:00:00 PM,"811,500",47.00
CAR/L/1011485,Dunalastair,"Monday, October 13, 2025",2:00:00 PM,"Wednesday, October 15, 2025",1:00:00 PM,"811,500",47.00
CAR/L/1011485,Dunalastair,"Friday, October 24, 2025",2:00:00 PM,"Sunday, October 26, 2025",1:00:00 PM,"811,500",47.00
CAR/L/1011485,Clunie - River Tummel,"Friday, June 06, 2025",4:00:00 PM,"Monday, June 09, 2025",8:00:00 AM,"842,364",64.00
CAR/L/1011485,Clunie - River Tummel,"Friday, June 13, 2025",4:00:00 PM,"Monday, June 16, 2025",8:00:00 AM,"842,364",64.00
CAR/L/1011485,Clunie - River Tummel,"Friday, June 20, 2025",4:00:00 PM,"Monday, June 23, 2025",8:00:00 AM,"842,364",64.00
CAR/L/1011485,Clunie - River Tummel,"Friday, June 27, 2025",4:00:00 PM,"Monday, June 30, 2025",8:00:00 AM,"842,364",64.00
CAR/L/1011485,Clunie - River Tummel,"Friday, July 04, 2025",4:00:00 PM,"Monday, July 07, 2025",8:00:00 AM,"842,364",64.00
CAR/L/1011485,Clunie - River Tummel,"Friday, July 11, 2025",4:00:00 PM,"Monday, July 14, 2025",8:00:00 AM,"842,364",64.00
CAR/L/1011485,Clunie - River Tummel,"Friday, July 18, 2025",4:00:00 PM,"Monday, July 21, 2025",8:00:00 AM,"842,364",64.00
CAR/L/1011485,Clunie - River Tummel,"Friday, July 25, 2025",4:00:00 PM,"Monday, July 28, 2025",8:00:00 AM,"842,364",64.00
CAR/L/1011485,Clunie - River Tummel,"Friday, August 01, 2025",4:00:00 PM,"Monday, August 04, 2025",8:00:00 AM,"842,364",64.00
CAR/L/1011485,Clunie - River Tummel,"Friday, August 08, 2025",4:00:00 PM,"Monday, August 11, 2025",8:00:00 AM,"842,364",64.00
CAR/L/1011485,Clunie - River Tummel,"Friday, August 15, 2025",4:00:00 PM,"Monday, August 18, 2025",8:00:00 AM,"842,364",64.00
CAR/L/1011485,Clunie - River Tummel,"Friday, August 22, 2025",4:00:00 PM,"Monday, August 25, 2025",8:00:00 AM,"842,364",64.00
CAR/L/1011485,Clunie - River Tummel,"Friday, August 29, 2025",4:00:00 PM,"Monday, September 01, 2025",8:00:00 AM,"842,364",64.00
CAR/L/1011485,Clunie - River Tummel,"Friday, September 05, 2025",4:00:00 PM,"Monday, September 08, 2025",8:00:00 AM,"842,364",64.00
CAR/L/1011485,Clunie - River Tummel,"Friday, September 12, 2025",4:00:00 PM,"Monday, September 15, 2025",8:00:00 AM,"842,364",64.00
CAR/L/1011485,Clunie - River Tummel,"Friday, September 19, 2025",4:00:00 PM,"Monday, September 22, 2025",8:00:00 AM,"842,364",64.00
CAR/L/1011485,Clunie - River Tummel,"Friday, September 26, 2025",4:00:00 PM,"Monday, September 29, 2025",8:00:00 AM,"842,364",64.00
CAR/L/1011854,River Shira,"Monday, June 02, 2025",10:00:00 AM,"Wednesday, June 04, 2025",10:00:00 AM,"363,688",48.00
CAR/L/1011854,River Shira,"Monday, June 16, 2025",10:00:00 AM,"Wednesday, June 18, 2025",10:00:00 AM,"363,688",48.00
CAR/L/1011854,River Shira,"Monday, June 30, 2025",10:00:00 AM,"Wednesday, July 02, 2025",10:00:00 AM,"363,688",48.00
CAR/L/1011854,River Shira,"Monday, July 14, 2025",10:00:00 AM,"Wednesday, July 16, 2025",10:00:00 AM,"363,688",48.00
CAR/L/1011854,River Shira,"Thursday, July 24, 2025",10:00:00 AM,"Saturday, July 26, 2025",10:00:00 AM,"363,688",48.00
CAR/L/1011854,River Shira,"Monday, August 11, 2025",10:00:00 AM,"Wednesday, August 13, 2025",10:00:00 AM,"363,688",48.00
CAR/L/1011854,River Shira,"Monday, August 25, 2025",10:00:00 AM,"Wednesday, August 27, 2025",10:00:00 AM,"363,688",48.00
CAR/L/1011854,River Shira,"Monday, September 08, 2025",10:00:00 AM,"Wednesday, September 10, 2025",10:00:00 AM,"363,688",48.00
CAR/L/1011896,Kingairloch - Loch Uisge Dam,"Thursday, May 01, 2025",10:00:00 AM,"Thursday, May 01, 2025",8:00:00 PM,"4,320",10.00
CAR/L/1011896,Kingairloch - Loch Uisge Dam,"Thursday, May 15, 2025",10:00:00 AM,"Thursday, May 15, 2025",8:00:00 PM,"4,320",10.00
CAR/L/1011896,Kingairloch - Loch Uisge Dam,"Thursday, May 29, 2025",10:00:00 AM,"Thursday, May 29, 2025",8:00:00 PM,"4,320",10.00
CAR/L/1011896,Kingairloch - Loch Uisge Dam,"Monday, June 02, 2025",10:00:00 AM,"Monday, June 02, 2025",8:00:00 PM,"4,320",10.00
CAR/L/1011896,Kingairloch - Loch Uisge Dam,"Monday, June 16, 2025",10:00:00 AM,"Monday, June 16, 2025",8:00:00 PM,"4,320",10.00
CAR/L/1011896,Kingairloch - Loch Uisge Dam,"Monday, June 30, 2025",10:00:00 AM,"Monday, June 30, 2025",8:00:00 PM,"4,320",10.00
CAR/L/1011896,Kingairloch - Loch Uisge Dam,"Thursday, July 03, 2025",10:00:00 AM,"Thursday, July 03, 2025",8:00:00 PM,"4,320",10.00
CAR/L/1011896,Kingairloch - Loch Uisge Dam,"Thursday, July 17, 2025",10:00:00 AM,"Thursday, July 17, 2025",8:00:00 PM,"4,320",10.00
CAR/L/1011896,Kingairloch - Loch Uisge Dam,"Thursday, July 31, 2025",10:00:00 AM,"Thursday, July 31, 2025",8:00:00 PM,"4,320",10.00
CAR/L/1011896,Kingairloch - Loch Uisge Dam,"Friday, August 01, 2025",10:00:00 AM,"Friday, August 01, 2025",8:00:00 PM,"4,320",10.00
CAR/L/1011896,Kingairloch - Loch Uisge Dam,"Friday, August 15, 2025",10:00:00 AM,"Friday, August 15, 2025",8:00:00 PM,"4,320",10.00
CAR/L/1011896,Kingairloch - Loch Uisge Dam,"Friday, August 29, 2025",10:00:00 AM,"Friday, August 29, 2025",8:00:00 PM,"4,320",10.00
CAR/L/1011412,Stronuich – River Lyon,"Monday, April 07, 2025",3:00:00 PM,"Tuesday, April 08, 2025",11:00:00 AM,"340,957",20.00
CAR/L/1011412,Stronuich – River Lyon,"Wednesday, April 16, 2025",3:00:00 PM,"Thursday, April 17, 2025",11:00:00 AM,"340,957",20.00
CAR/L/1011412,Stronuich – River Lyon,"Monday, April 28, 2025",3:00:00 PM,"Tuesday, April 29, 2025",11:00:00 AM,"340,957",20.00
CAR/L/1011412,Stronuich – River Lyon,"Wednesday, May 07, 2025",3:00:00 PM,"Thursday, May 08, 2025",11:00:00 AM,"340,957",20.00
CAR/L/1011412,Stronuich – River Lyon,"Wednesday, May 14, 2025",3:00:00 PM,"Thursday, May 15, 2025",11:00:00 AM,"340,957",20.00
CAR/L/1011412,Stronuich – River Lyon,"Wednesday, May 21, 2025",3:00:00 PM,"Thursday, May 22, 2025",11:00:00 AM,"340,957",20.00
CAR/L/1011412,Stronuich – River Lyon,"Tuesday, May 27, 2025",3:00:00 PM,"Wednesday, May 28, 2025",11:00:00 AM,"340,957",20.00
CAR/L/1011412,Stronuich – River Lyon,"Wednesday, June 04, 2025",3:00:00 PM,"Thursday, June 05, 2025",11:00:00 AM,"340,957",20.00
CAR/L/1011412,Stronuich – River Lyon,"Thursday, June 12, 2025",3:00:00 PM,"Friday, June 13, 2025",11:00:00 AM,"340,957",20.00
CAR/L/1011412,Stronuich – River Lyon,"Monday, June 16, 2025",3:00:00 PM,"Tuesday, June 17, 2025",11:00:00 AM,"340,957",20.00
CAR/L/1011412,Stronuich – River Lyon,"Tuesday, June 24, 2025",3:00:00 PM,"Wednesday, June 25, 2025",11:00:00 AM,"340,957",20.00
CAR/L/1011412,Stronuich – River Lyon,"Wednesday, July 02, 2025",3:00:00 PM,"Thursday, July 03, 2025",11:00:00 AM,"340,957",20.00
CAR/L/1011412,Stronuich – River Lyon,"Wednesday, July 09, 2025",3:00:00 PM,"Thursday, July 10, 2025",11:00:00 AM,"340,957",20.00
CAR/L/1011412,Stronuich – River Lyon,"Thursday, July 17, 2025",3:00:00 PM,"Friday, July 18, 2025",11:00:00 AM,"340,957",20.00
CAR/L/1011412,Stronuich – River Lyon,"Monday, July 21, 2025",3:00:00 PM,"Tuesday, July 22, 2025",11:00:00 AM,"340,957",20.00
CAR/L/1011412,Stronuich – River Lyon,"Tuesday, July 29, 2025",3:00:00 PM,"Wednesday, July 30, 2025",11:00:00 AM,"340,957",20.00
CAR/L/1011412,Stronuich – River Lyon,"Monday, August 04, 2025",3:00:00 PM,"Tuesday, August 05, 2025",11:00:00 AM,"340,957",20.00
CAR/L/1011412,Stronuich – River Lyon,"Tuesday, August 12, 2025",3:00:00 PM,"Wednesday, August 13, 2025",11:00:00 AM,"340,957",20.00
CAR/L/1011412,Stronuich – River Lyon,"Thursday, August 21, 2025",3:00:00 PM,"Friday, August 22, 2025",11:00:00 AM,"340,957",20.00
CAR/L/1011412,Stronuich – River Lyon,"Thursday, August 28, 2025",3:00:00 PM,"Friday, August 29, 2025",11:00:00 AM,"340,957",20.00
CAR/L/1011412,Stronuich – River Lyon,"Wednesday, September 03, 2025",3:00:00 PM,"Thursday, September 04, 2025",11:00:00 AM,"340,957",20.00
CAR/L/1011412,Stronuich – River Lyon,"Thursday, September 11, 2025",3:00:00 PM,"Friday, September 12, 2025",11:00:00 AM,"340,957",20.00
CAR/L/1011412,Stronuich – River Lyon,"Wednesday, September 17, 2025",3:00:00 PM,"Thursday, September 18, 2025",11:00:00 AM,"340,957",20.00
CAR/L/1011412,Stronuich – River Lyon,"Tuesday, September 23, 2025",3:00:00 PM,"Wednesday, September 24, 2025",11:00:00 AM,"340,957",20.00
CAR/L/1011412,Stronuich – River Lyon,"Tuesday, September 30, 2025",3:00:00 PM,"Wednesday, October 01, 2025",11:00:00 AM,"340,957",20.00
CAR/L/1011412,Stronuich – River Lyon,"Wednesday, October 08, 2025",3:00:00 PM,"Thursday, October 09, 2025",11:00:00 AM,"340,957",20.00
CAR/L/1011464,Meig - River Meig,"Thursday, June 05, 2025",9:00:00 AM,"Friday, June 06, 2025",9:00:00 AM,"36,000",24.00
CAR/L/1011464,Meig - River Meig,"Thursday, June 12, 2025",9:00:00 AM,"Friday, June 13, 2025",9:00:00 AM,"36,000",24.00
CAR/L/1011464,Meig - River Meig,"Thursday, June 19, 2025",9:00:00 AM,"Friday, June 20, 2025",9:00:00 AM,"36,000",24.00
CAR/L/1011464,Meig - River Meig,"Thursday, June 26, 2025",9:00:00 AM,"Friday, June 27, 2025",9:00:00 AM,"36,000",24.00
CAR/L/1011464,Meig - River Meig,"Thursday, July 03, 2025",9:00:00 AM,"Friday, July 04, 2025",9:00:00 AM,"36,000",24.00
CAR/L/1011464,Meig - River Meig,"Thursday, July 10, 2025",9:00:00 AM,"Friday, July 11, 2025",9:00:00 AM,"36,000",24.00
CAR/L/1011464,Meig - River Meig,"Thursday, July 17, 2025",9:00:00 AM,"Friday, July 18, 2025",9:00:00 AM,"36,000",24.00
CAR/L/1011464,Meig - River Meig,"Thursday, July 24, 2025",9:00:00 AM,"Friday, July 25, 2025",9:00:00 AM,"36,000",24.00
CAR/L/1011464,Meig - River Meig,"Thursday, July 31, 2025",9:00:00 AM,"Friday, August 01, 2025",9:00:00 AM,"36,000",24.00
CAR/L/1011464,Meig - River Meig,"Thursday, August 07, 2025",9:00:00 AM,"Friday, August 08, 2025",9:00:00 AM,"36,000",24.00
CAR/L/1011464,Meig - River Meig,"Thursday, August 14, 2025",9:00:00 AM,"Friday, August 15, 2025",9:00:00 AM,"36,000",24.00
CAR/L/1011464,Meig - River Meig,"Thursday, August 21, 2025",9:00:00 AM,"Friday, August 22, 2025",9:00:00 AM,"36,000",24.00
CAR/L/1011464,Meig - River Meig,"Thursday, August 28, 2025",9:00:00 AM,"Friday, August 29, 2025",9:00:00 AM,"36,000",24.00
CAR/L/1011464,Meig - River Meig,"Thursday, September 04, 2025",9:00:00 AM,"Friday, September 05, 2025",9:00:00 AM,"36,000",24.00
CAR/L/1011464,Meig - River Meig,"Thursday, September 11, 2025",9:00:00 AM,"Friday, September 12, 2025",9:00:00 AM,"36,000",24.00
CAR/L/1011464,Meig - River Meig,"Thursday, September 18, 2025",9:00:00 AM,"Friday, September 19, 2025",9:00:00 AM,"36,000",24.00
CAR/L/1011464,Meig - River Meig,"Thursday, September 25, 2025",9:00:00 AM,"Friday, September 26, 2025",9:00:00 AM,"36,000",24.00
CAR/L/1011464,Meig - River Meig,"Thursday, October 02, 2025",9:00:00 AM,"Friday, October 03, 2025",9:00:00 AM,"36,000",24.00
CAR/L/1011464,Meig - River Meig,"Thursday, October 09, 2025",9:00:00 AM,"Friday, October 10, 2025",9:00:00 AM,"36,000",24.00
