Authorisation,Location Description,Release Start Date,Release Start Time,Release End Date,Release End Time,Freshet Volume (m3),Freshet Duration (hrs)
CAR/L/1011467,Beannachran - River Farrar,"Thursday, July 03, 2025",8:00:00 AM,"Saturday, July 05, 2025",4:00:00 PM,"910,136",56.00
CAR/L/1011467,Beannachran - River Farrar,"Thursday, July 10, 2025",8:00:00 AM,"Saturday, July 12, 2025",4:00:00 PM,"910,136",56.00
CAR/L/1011467,Beannachran - River Farrar,"Thursday, July 17, 2025",8:00:00 AM,"Saturday, July 19, 2025",4:00:00 PM,"910,136",56.00
CAR/L/1011467,Beannachran - River Farrar,"Thursday, July 24, 2025",8:00:00 AM,"Saturday, July 26, 2025",4:00:00 PM,"910,136",56.00
CAR/L/1011467,Beannachran - River Farrar,"Thursday, July 31, 2025",8:00:00 AM,"Saturday, August 02, 2025",4:00:00 PM,"910,136",56.00
CAR/L/1011467,Beannachran - River Farrar,"Thursday, August 07, 2025",8:00:00 AM,"Saturday, August 09, 2025",4:00:00 PM,"910,136",56.00
CAR/L/1011467,Beannachran - River Farrar,"Thursday, August 14, 2025",8:00:00 AM,"Saturday, August 16, 2025",4:00:00 PM,"910,136",56.00
CAR/L/1011467,Beannachran - River Farrar,"Thursday, August 21, 2025",8:00:00 AM,"Saturday, August 23, 2025",4:00:00 PM,"910,136",56.00
CAR/L/1011467,Beannachran - River Farrar,"Thursday, August 28, 2025",8:00:00 AM,"Saturday, August 30, 2025",4:00:00 PM,"910,136",56.00
CAR/L/1011467,Beannachran - River Farrar,"Thursday, September 04, 2025",8:00:00 AM,"Saturday, September 06, 2025",4:00:00 PM,"910,136",56.00
CAR/L/1011467,Beannachran - River Farrar,"Thursday, September 11, 2025",8:00:00 AM,"Saturday, September 13, 2025",4:00:00 PM,"910,136",56.00
CAR/L/1011467,Beannachran - River Farrar,"Thursday, September 18, 2025",8:00:00 AM,"Saturday, September 20, 2025",4:00:00 PM,"910,136",56.00
CAR/L/1011467,Beannachran - River Farrar,"Thursday, September 25, 2025",8:00:00 AM,"Saturday, September 27, 2025",4:00:00 PM,"910,136",56.00
CAR/L/1011467,Beannachran - River Farrar,"Thursday, October 02, 2025",8:00:00 AM,"Saturday, October 04, 2025",4:00:00 PM,"910,136",56.00
CAR/L/1011467,Beannachran - River Farrar,"Thursday, October 09, 2025",8:00:00 AM,"Saturday, October 11, 2025",4:00:00 PM,"910,136",56.00
CAR/L/1011471,Dundreggan (River Moriston),"Tuesday, April 01, 2025",11:00:00 AM,"Wednesday, April 02, 2025",4:00:00 PM,"736,467",29.00
CAR/L/1011471,Dundreggan (River Moriston),"Tuesday, April 08, 2025",11:00:00 AM,"Wednesday, April 09, 2025",4:00:00 PM,"736,467",29.00
CAR/L/1011471,Dundreggan (River Moriston),"Tuesday, April 15, 2025",11:00:00 AM,"Wednesday, April 16, 2025",4:00:00 PM,"736,467",29.00
CAR/L/1011471,Dundreggan (River Moriston),"Tuesday, April 22, 2025",11:00:00 AM,"Wednesday, April 23, 2025",4:00:00 PM,"736,467",29.00
CAR/L/1011471,Dundreggan (River Moriston),"Tuesday, April 29, 2025",11:00:00 AM,"Wednesday, April 30, 2025",4:00:00 PM,"736,467",29.00
CAR/L/1011471,Dundreggan (River Moriston),"Tuesday, May 06, 2025",11:00:00 AM,"Wednesday, May 07, 2025",4:00:00 PM,"736,467",29.00
CAR/L/1011471,Dundreggan (River Moriston),"Saturday, May 17, 2025",5:00:00 AM,"Sunday, May 18, 2025",10:00:00 AM,"736,467",29.00
CAR/L/1011471,Dundreggan (River Moriston),"Tuesday, May 20, 2025",11:00:00 AM,"Wednesday, May 21, 2025",4:00:00 PM,"736,467",29.00
CAR/L/1011471,Dundreggan (River Moriston),"Saturday, May 31, 2025",9:00:00 AM,"Sunday, June 01, 2025",2:00:00 PM,"736,467",29.00
CAR/L/1011471,Dundreggan (River Moriston),"Tuesday, June 03, 2025",11:00:00 AM,"Wednesday, June 04, 2025",4:00:00 PM,"736,467",29.00
CAR/L/1011471,Dundreggan (River Moriston),"Tuesday, June 10, 2025",11:00:00 AM,"Wednesday, June 11, 2025",4:00:00 PM,"736,467",29.00
CAR/L/1011471,Dundreggan (River Moriston),"Tuesday, June 17, 2025",11:00:00 AM,"Wednesday, June 18, 2025",4:00:00 PM,"736,467",29.00
CAR/L/1011471,Dundreggan (River Moriston),"Tuesday, June 24, 2025",11:00:00 AM,"Wednesday, June 25, 2025",4:00:00 PM,"736,467",29.00
CAR/L/1011471,Dundreggan (River Moriston),"Saturday, July 05, 2025",9:00:00 AM,"Sunday, July 06, 2025",2:00:00 PM,"736,467",29.00
CAR/L/1011471,Dundreggan (River Moriston),"Tuesday, July 08, 2025",11:00:00 AM,"Wednesday, July 09, 2025",4:00:00 PM,"736,467",29.00
CAR/L/1011471,Dundreggan (River Moriston),"Tuesday, July 15, 2025",11:00:00 AM,"Wednesday, July 16, 2025",4:00:00 PM,"736,467",29.00
CAR/L/1011471,Dundreggan (River Moriston),"Saturday, July 26, 2025",10:00:00 AM,"Sunday, July 27, 2025",6:00:00 PM,"736,467",32.00
CAR/L/1011471,Dundreggan (River Moriston),"Tuesday, July 29, 2025",11:00:00 AM,"Wednesday, July 30, 2025",4:00:00 PM,"736,467",29.00
CAR/L/1011471,Dundreggan (River Moriston),"Saturday, August 09, 2025",9:00:00 AM,"Sunday, August 10, 2025",2:00:00 PM,"736,467",29.00
CAR/L/1011471,Dundreggan (River Moriston),"Saturday, August 16, 2025",9:00:00 AM,"Sunday, August 17, 2025",2:00:00 PM,"736,467",29.00
CAR/L/1011471,Dundreggan (River Moriston),"Saturday, August 23, 2025",9:00:00 AM,"Sunday, August 24, 2025",2:00:00 PM,"736,467",29.00
CAR/L/1011471,Dundreggan (River Moriston),"Tuesday, August 26, 2025",11:00:00 AM,"Wednesday, August 27, 2025",4:00:00 PM,"736,467",29.00
CAR/L/1011471,Dundreggan (River Moriston),"Tuesday, September 02, 2025",11:00:00 AM,"Wednesday, September 03, 2025",4:00:00 PM,"736,467",29.00
CAR/L/1011471,Dundreggan (River Moriston),"Saturday, September 06, 2025",5:00:00 AM,"Sunday, September 07, 2025",10:00:00 AM,"736,467",29.00
CAR/L/1011471,Dundreggan (River Moriston),"Tuesday, September 16, 2025",11:00:00 AM,"Wednesday, September 17, 2025",4:00:00 PM,"736,467",29.00
CAR/L/1011471,Dundreggan (River Moriston),"Tuesday, September 23, 2025",11:00:00 AM,"Wednesday, September 24, 2025",4:00:00 PM,"736,467",29.00
